dropout,seed,epoch,layer,stable_rank,test_acc
0.5,5,100,layer2,3.147434352714391,0.7597
0.5,5,100,layer4,3.9724411181107473,0.7597
0.5,6,1,layer1,2.4276137243753344,0.12
0.5,6,1,layer2,2.0834829784164537,0.12
0.5,6,1,layer4,3.1225336928525484,0.12
0.5,6,50,layer1,2.022970046429443,0.5801
0.5,6,50,layer2,3.1594533798467808,0.5801
0.5,6,50,layer4,4.379358071999927,0.5801
0.5,6,100,layer1,1.9675453605020936,0.7605
0.5,6,100,layer2,3.0443657690545223,0.7605
0.5,6,100,layer4,3.932737007215827,0.7605
0.5,7,1,layer1,2.493308689410565,0.1178
0.5,7,1,layer2,1.9367766048552804,0.1178
0.5,7,1,layer4,3.275376825615577,0.1178
0.5,7,50,layer1,2.2012846628287495,0.5697
0.5,7,50,layer2,3.0006568294174936,0.5697
0.5,7,50,layer4,4.038613346971225,0.5697
0.5,7,100,layer1,2.142492645696359,0.7588
0.5,7,100,layer2,3.0328153253132375,0.7588
0.5,7,100,layer4,3.9185248164992137,0.7588
0.5,8,1,layer1,2.3695356689383487,0.1292
0.5,8,1,layer2,2.2680727685519098,0.1292
0.5,8,1,layer4,3.1200040255912467,0.1292
0.5,8,50,layer1,2.1755743167437083,0.5739
0.5,8,50,layer2,3.064834109343286,0.5739
0.5,8,50,layer4,4.2487721856471,0.5739
0.5,8,100,layer1,2.1404366217932242,0.7638
0.5,8,100,layer2,3.0590827262966704,0.7638
0.5,8,100,layer4,3.9659870746665806,0.7638
0.5,9,1,layer1,2.3455844750438484,0.1087
0.5,9,1,layer2,2.644761877926747,0.1087
0.5,9,1,layer4,2.6827907130100797,0.1087
0.5,9,50,layer1,2.522447663619904,0.5765
0.5,9,50,layer2,3.1701191618060727,0.5765
0.5,9,50,layer4,4.137508089786093,0.5765
0.5,9,100,layer1,2.264915082383214,0.7649
0.5,9,100,layer2,3.0928073738973385,0.7649
0.5,9,100,layer4,3.940282590164856,0.7649
